regional,sigla_estados,slug_cnbb,url_cnbb_regional,presidente,vice_presidente,secretario,secretario_executivo
Regional Norte I,"AM, RR",norte-1,https://www.cnbb.org.br/norte-1/,Cardeal Dom Leonardo Steiner,Dom Adolfo Zon Pereira,Dom José Altevir da Silva,Ir. Roselei Bertoldo
Regional Norte II,"PA, AP",norte-2,https://www.cnbb.org.br/norte-2/,"Dom Irineu Roman, CSJ",Dom José Maria Chaves dos Reis,"Dom Antônio de Assis Ribeiro, S.D.B.",
Regional Norte III,"TO, PA, MT",norte-3,https://www.cnbb.org.br/norte-3/,Dom Pedro Brito Guimarães,Dom Philip Eduard Roger Dickmans,Dom Wellington de Queiroz Vieira,Pe. Heldeir Gomes Carneiro
Regional Nordeste I,CE,nordeste-1,https://www.cnbb.org.br/nordeste-1/,Dom Frei Magnus Henrique Lopes,Dom José Luiz Gomes de Vasconcelos,Dom Geraldo Freire Soares,Pe. Francisco Macerlândio Teixeira Gomes
Regional Nordeste II,"AL, PB, PE, RN",nordeste-2,https://www.cnbb.org.br/nordeste-2/,Dom Francisco de Sales Alencar Batista,Dom Antônio Carlos Cruz Santos,Dom José Luiz Ferreira Salles,"Pe. Agenor Guedes Filho, OSB"
Regional Nordeste III,"BA, SE",nordeste-3,https://www.cnbb.org.br/nordeste-3/,Dom Dirceu de Oliveira Medeiros,Dom José Genivaldo Garcia,Dom Dorival Souza Barreto Júnior,Maria Inês de Sousa Santos
Regional Nordeste IV,PI,nordeste-4,https://www.cnbb.org.br/nordeste-4/,Dom Juarez Sousa da Silva,Dom Francisco de Assis Gabriel dos Santos,Dom Edilson Soares Nobre,Pe. Ataan Nerson de Castro Brito
Regional Nordeste V,MA,nordeste-5,https://www.cnbb.org.br/nordeste-5/,Dom Juarez Sousa da Silva,Dom Francisco de Assis Gabriel dos Santos,Dom Edilson Soares Nobre,Pe. Ataan Nerson de Castro Brito
Regional Leste 1,RJ,leste-1,https://www.cnbb.org.br/leste-1/,Dom Gilson Andrade da Silva,Dom Luiz Henrique da Silva Brito,Dom Antônio Luiz Catelan Ferreira,Pe. Jovane da Rosa Carmo
Regional Leste 2,MG,leste-2,https://www.cnbb.org.br/leste-2/,Dom José Carlos de Souza Campos,Dom Airton José dos Santos,Dom Joel Maria dos Santos,Pe. Rodrigo Souza da Silva
Regional Leste 3,ES,leste-3,https://www.cnbb.org.br/leste-3/,Dom Lauro Sérgio Versiani Barbosa,Dom Luiz Fernando Lisboa,Dom Andherson Franklin Lustoza de Souza,Pe. Renato Criste Covre
Regional Centro-Oeste,"GO, MT, DF",centro-oeste,https://www.cnbb.org.br/centro-oeste/,Dom Waldemar Passini Dalbello,Dom Giovani Carlos Caldas Barroca,Dom Francisco Agamenilton Damascena,"Pe. Eduardo Luiz de Rezende, CSSR"
Regional Oeste I,MS,oeste-1,https://www.cnbb.org.br/oeste-1/,Dom Ettore Dotti,Dom Henrique Aparecido de Lima,Dom Otair Nicoletti,Pe. André Márcio Nogueira de Souza
Regional Oeste II,MT,oeste-2,https://www.cnbb.org.br/oeste-2/,Dom Vital Chitolina,Dom Maurício da Silva Jardim,Dom Jacy Diniz Rocha,Pe. Reinaldo Braga Junior
Regional Noroeste,"RO, AC, AM, MT",noroeste,https://www.cnbb.org.br/noroeste/,Dom Benedito Araújo,Dom Norbert Hans Christoph Foerster,Dom Antônio Fontinele de Melo,==== Província Eclesiástica de Porto Velho ====
Regional Sul 1,SP,sul-1,https://www.cnbb.org.br/sul-1/,Dom Moacir Silva,Dom Luiz Carlos Dias,Dom Frei Carlos Silva,Pe. Leando Megeto
Regional Sul 2,PR,sul2,https://www.cnbb.org.br/sul2/,Dom Geremias Steinmetz,Dom Amilton Manoel da Silva,Dom Mário Spaki,Pe. Valdecir Badzinski
Regional Sul 3,RS,sul-3,https://www.cnbb.org.br/sul-3/,Dom Leomar Antônio Brustolin,Dom Cleonir Paulo Dalbosco,Dom Carlos Rômulo Gonçalves e Silva,Pe. Rogério Ferraz de Andrade
Regional Sul 4,SC,sul-4,https://www.cnbb.org.br/sul-4/,Dom Odelir José Magri,Dom Cleocir Bonetti,Dom Onécimo Alberton,Pe. Antonio Marcos Machado Madeira
